"id","first_name","last_name","team","position","pos","points","floor","ceiling","sd_pts","player_name"
"17353","Jahdae","Walker","CHI","WR","WR",37.0522027601236,15.647,82.380929936445,10.630242,"Jahdae Walker"
"17096","Savion","Williams","GBP","WR","WR",35.915,28.263,47.703,8.347038,"Savion Williams"
"17076","Isaiah","Bond","CLE","WR","WR",35.685,28.612,42.382,10.645068,"Isaiah Bond"
"16630","Isaiah","Williams","NYJ","WR","WR",35.585,34.67,36.956,1.03782,"Isaiah Williams"
"17521","Zavion","Thomas","CHI","WR","WR",34.9531356727416,28.4253135672742,41.480957778209,10.7534989484067,"Zavion Thomas"
"16621","Devontez","Walker","BAL","WR","WR",34.74,31,40.144,4.4478,"Devontez Walker"
"17079","Tez","Johnson","TBB","WR","WR",30.255,21.46,45.058,8.30256,"Tez Johnson"
"16633","Jordan","Whittington","LAR","WR","WR",29.775,26.57,32.78,4.74431999999999,"Jordan Whittington"
"17134","Kyle","Williams","NEP","WR","WR",28.4631818181818,22.0163181818182,34.9100454545454,10.6201333636364,"Kyle Williams"
"15759","John","Metchie","CAR","WR","WR",26.22,26.22,26.22,NA,"John Metchie"
"17518","Cyrus","Allen","KCC","WR","WR",25.9233333333333,4.676,46.48,21.72009,"Cyrus Allen"
"16629","Roman","Wilson","PIT","WR","WR",25.88,4.53,46.398,32.943372,"Roman Wilson"
"15752","Treylon","Burks","WAS","WR","WR",25.19875,11.481,33.6345,8.458233,"Treylon Burks"
"14118","Lil'Jordan","Humphrey","DEN","WR","WR",24,24,24,NA,"Lil'Jordan Humphrey"
"17519","Bryce","Lance","NOS","WR","WR",22.47,14.613,30.327,12.943098,"Bryce Lance"
"17528","Kevin","Coleman","MIA","WR","WR",22.2,22.2,22.2,NA,"Kevin Coleman"
"17087","Dont'e","Thornton","LVR","WR","WR",22.03,12.666,35.346,11.356716,"Dont'e Thornton"
